;Final_name
ASV_434;ASV_434_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_435;ASV_435_Chloroflexi_NA_NA
ASV_436;ASV_436_Acidobacteriota_NA_NA
ASV_437;ASV_437_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_438;ASV_438_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_439;ASV_439_Proteobacteria_Burkholderiaceae_Burkholderia-Caballeronia-Paraburkholderia
ASV_440;ASV_440_Bacteroidota_Cryomorphaceae_NA
ASV_441;ASV_441_Chloroflexi_NA_NA
ASV_442;ASV_442_Proteobacteria_Nitrosococcaceae_AqS1
ASV_443;ASV_443_Chloroflexi_NA_NA
ASV_444;ASV_444_Verrucomicrobiota_DEV007_NA
