row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
410;330.03411;331.04139;99.8;3',5'-Cyclic Inosine monophosphate;;410_331.04139_99.8;;;;;;;
2372;212.1278;213.13508;1278.57;3,7-Diacetyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane;;2372_213.13508_1278.57;;;;;;;
2464;212.12777;213.13505;1320.24;3,7-Diacetyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane;;2464_213.13505_1320.24;;0.19957;0.4888;;;;
2497;212.12909;213.13636;1335.06;3,7-Diacetyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane;;2497_213.13636_1335.06;;0.43325;0.43601;;;;
2534;212.12757;213.13485;1345.68;3,7-Diacetyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane;;2534_213.13485_1345.68;;2.1045;0.40999;;;;
2562;212.12882;213.1361;1357.65;3,7-Diacetyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane;;2562_213.1361_1357.65;;0.34319;0.64701;;;;
2597;212.12863;213.13591;1373.41;3,7-Diacetyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane;;2597_213.13591_1373.41;;0.055785;0.78997;;;;
2458;217.09781;218.10509;1317.34;3-[(Pyridin-3-ylmethyl)amino]-1H-pyrazole-4-carboxamide;;2458_218.10509_1317.34;;0.79664;0.75737;;;;
1903;180.08831;181.09559;573.61;3-Amino-1-(2-amino-3-hydroxyphenyl)propan-1-one;;1903_181.09559_573.61;;0.73514;0.86864;;;;
1630;241.10652;242.11379;68.21;3'-Amino-3'-deoxythymidine;;1630_242.11379_68.21;;;;;;;
466;158.08325;159.09052;322.99;3-Methylquinolin-4-amine;;466_159.09052_322.99;;;;-203.5291196;C7H12NO3;5-amino-2-ethyl-5-oxopentanoic acid;PubChem:(58887353)
1864;158.08291;159.09019;411.73;3-Methylquinolin-4-amine;;1864_159.09019_411.73;;;;;;;
1911;185.12008;186.12735;602.11;3-Phenyl-8-azabicyclo[3.2.1]oct-2-ene;;1911_186.12735_602.11;;0.74339;0.62954;;;;
1110;226.11615;227.12342;1153.6;4-(Ethylaminomethyl)-2-methyl-5-[(methylthio)methyl]pyridin-3-ol;;1110_227.12342_1153.6;;0.85637;0.99777;;;;
1274;226.11591;227.12319;1273.93;4-(Ethylaminomethyl)-2-methyl-5-[(methylthio)methyl]pyridin-3-ol;;1274_227.12319_1273.93;;1.1617;0.74892;;;;
2478;226.11502;227.12229;1325.47;4-(Ethylaminomethyl)-2-methyl-5-[(methylthio)methyl]pyridin-3-ol;;2478_227.12229_1325.47;;0.73766;1.6129;;;;
